EID,StudentID,ModuleID,Score,Semester,Year
6,1,5,78,Summer,2020
7,2,5,44,Summer,2018
8,3,5,56,Summer,2020
9,4,5,67,S1,2019
10,5,5,87,S2,2020
11,53,1,43,S1,2018
12,54,1,84,S1,2018
13,55,1,52,S1,2018
14,56,1,65,S1,2018
15,57,1,84,S1,2018
16,58,1,85,S1,2018
17,59,1,22,S1,2018
18,60,1,55,S1,2018
19,61,1,19,S1,2018
20,62,1,33,S1,2018
21,63,1,65,S1,2018
22,64,1,56,S1,2018
23,65,1,84,S1,2018
24,66,1,96,S1,2018
25,67,1,85,S1,2018
26,68,1,25,S1,2018
27,69,1,63,S1,2018
28,70,1,66,S1,2018
29,71,1,65,S1,2018
30,72,1,67,S1,2018
31,73,1,69,S1,2018
32,74,1,45,S1,2018
33,75,1,32,S1,2018
34,76,1,32,S1,2018
35,77,1,39,S1,2018
36,78,1,45,S1,2018
37,79,1,45,S1,2018
38,80,1,47,S1,2018
39,81,1,88,S1,2018
40,82,1,89,S1,2018
41,83,1,96,S1,2018
42,84,1,95,S1,2018
43,85,1,95,S1,2018
44,86,1,95,S1,2018
45,87,1,77,S1,2018
46,88,1,72,S1,2018
47,89,1,74,S1,2018
48,90,1,52,S1,2018
49,91,1,82,S1,2018
50,92,1,81,S1,2018
51,93,1,83,S1,2018
52,94,1,74,S1,2018
53,95,1,71,S1,2018
54,96,1,75,S1,2018
55,97,1,72,S1,2018
56,98,1,73,S1,2018
57,99,1,79,S1,2018
58,100,1,88,S1,2018
59,101,1,84,S1,2018
60,102,1,54,S1,2018
61,103,1,54,S1,2018
62,10,5,32,S2,2019
63,11,5,55,S2,2019
64,12,5,32,S2,2019
65,13,5,88,S2,2019
66,14,5,87,S2,2019
67,15,5,66,S2,2019
68,16,5,54,S2,2019
69,17,5,77,S2,2019
70,18,5,32,S2,2019
71,19,5,63,S2,2019
72,20,5,54,S2,2019
73,21,5,12,S2,2019
74,22,5,36,S2,2019
75,23,5,39,S2,2019
76,24,5,38,S2,2019
77,25,5,59,S2,2019
78,26,5,56,S2,2019
79,27,5,58,S2,2019
80,28,5,57,S2,2019
81,29,5,52,S2,2019
82,30,5,54,S2,2019
83,31,5,55,S2,2019
84,32,5,56,S2,2019
85,33,5,57,S2,2019
86,34,5,58,S2,2019
87,35,5,59,S2,2019
88,36,5,54,S2,2019
89,37,5,69,S2,2019
90,38,5,68,S2,2019
91,39,5,62,S2,2019
92,40,5,63,S2,2019
93,41,5,63,S2,2019
94,42,5,65,S2,2019
95,43,5,64,S2,2019
96,44,5,67,S2,2019
97,45,5,55,S2,2019
98,46,5,96,S2,2019
99,47,5,65,S2,2019
100,48,5,68,S2,2019
101,49,5,67,S2,2019
102,50,5,62,S2,2019
103,51,5,32,S2,2019
104,52,5,35,S2,2019
105,53,5,38,S2,2019
106,54,5,39,S2,2019
107,55,5,33,S2,2019
108,56,5,37,S2,2019
